source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5210110944537363
1,0,1.0,0,0,0,0,0,1.5210110944537363
1,2,1.0,0,0,0,0,0,1.5294905910768302
2,1,1.0,0,0,0,0,0,1.5294905910768302
2,3,1.0,0,0,0,0,0,1.5315096470098375
3,2,1.0,0,0,0,0,0,1.5315096470098375
3,4,1.0,0,0,0,0,0,1.5322135901737943
4,3,1.0,0,0,0,0,0,1.5322135901737943
4,5,1.0,0,0,0,0,0,1.5314346337795206
5,4,1.0,0,0,0,0,0,1.5314346337795206
5,6,1.0,0,0,0,0,0,1.5326696582504702
6,5,1.0,0,0,0,0,0,1.5326696582504702
6,7,1.0,0,0,0,0,0,1.531677855869661
7,6,1.0,0,0,0,0,0,1.531677855869661
7,8,1.0,0,0,0,4,0,1.502632311638209
8,7,1.0,0,0,0,4,0,1.502632311638209
8,9,2.0,0,0,2,0,0,1.3429509636073713
9,8,2.0,0,0,2,0,0,1.3429509636073713
9,10,1.0,0,0,0,3,0,1.502583747250344
10,9,1.0,0,0,0,3,0,1.502583747250344
10,11,1.0,0,0,0,0,0,1.5318604044626971
11,10,1.0,0,0,0,0,0,1.5318604044626971
11,12,1.0,0,0,0,0,0,1.532766336789974
12,11,1.0,0,0,0,0,0,1.532766336789974
12,13,1.0,0,0,0,0,0,1.5307446156180424
13,12,1.0,0,0,0,0,0,1.5307446156180424
13,14,1.0,0,0,0,0,0,1.527116910715733
14,13,1.0,0,0,0,0,0,1.527116910715733
14,15,1.0,0,0,0,0,0,1.5040070098256968
15,14,1.0,0,0,0,0,0,1.5040070098256968
15,16,2.0,1,0,0,0,0,1.2187876708179672
16,15,2.0,1,0,0,0,0,1.2187876708179672
15,17,1.0,1,0,0,0,0,1.3473250881013694
17,15,1.0,1,0,0,0,0,1.3473250881013694
