source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206787742703907
1,0,1.0,0,0,0,0,0,1.5206787742703907
1,2,1.0,0,0,0,0,0,1.5300879066645923
2,1,1.0,0,0,0,0,0,1.5300879066645923
2,3,1.0,0,0,0,0,0,1.5314894943975532
3,2,1.0,0,0,0,0,0,1.5314894943975532
3,4,1.0,0,0,0,0,0,1.53105043400545
4,3,1.0,0,0,0,0,0,1.53105043400545
4,5,1.0,0,0,0,4,0,1.5028650228866671
5,4,1.0,0,0,0,4,0,1.5028650228866671
5,6,2.0,0,0,2,0,0,1.343701490803956
6,5,2.0,0,0,2,0,0,1.343701490803956
6,7,1.0,0,0,0,3,0,1.5026647276247287
7,6,1.0,0,0,0,3,0,1.5026647276247287
7,8,1.0,0,0,0,4,0,1.5019945464569886
8,7,1.0,0,0,0,4,0,1.5019945464569886
8,9,2.0,0,0,2,0,0,1.344290414131934
9,8,2.0,0,0,2,0,0,1.344290414131934
9,10,1.0,0,0,0,3,0,1.502872796499386
10,9,1.0,0,0,0,3,0,1.502872796499386
10,11,1.0,0,0,0,4,0,1.5026737808468262
11,10,1.0,0,0,0,4,0,1.5026737808468262
11,12,2.0,0,0,2,0,0,1.3445023220073182
12,11,2.0,0,0,2,0,0,1.3445023220073182
12,13,1.0,0,0,0,3,0,1.5026908492504538
13,12,1.0,0,0,0,3,0,1.5026908492504538
13,14,1.0,0,0,0,4,0,1.5014987324746822
14,13,1.0,0,0,0,4,0,1.5014987324746822
14,15,2.0,0,0,2,0,0,1.3437100577031438
15,14,2.0,0,0,2,0,0,1.3437100577031438
15,16,1.0,0,0,0,3,0,1.5017266567048506
16,15,1.0,0,0,0,3,0,1.5017266567048506
16,17,1.0,0,0,0,0,0,1.5319510713987277
17,16,1.0,0,0,0,0,0,1.5319510713987277
17,18,1.0,0,0,0,0,0,1.5276173431682003
18,17,1.0,0,0,0,0,0,1.5276173431682003
18,19,1.0,0,0,0,0,0,1.5106297982769
19,18,1.0,0,0,0,0,0,1.5106297982769
19,20,2.0,1,0,0,0,0,1.2241009137741394
20,19,2.0,1,0,0,0,0,1.2241009137741394
19,21,1.0,1,0,0,0,0,1.3592561313251017
21,19,1.0,1,0,0,0,0,1.3592561313251017
21,22,1.0,0,0,0,0,0,1.43905114871301
22,21,1.0,0,0,0,0,0,1.43905114871301
22,23,1.0,0,0,0,0,0,1.5360769750003829
23,22,1.0,0,0,0,0,0,1.5360769750003829
23,24,1.0,0,0,0,0,0,1.5322767623965907
24,23,1.0,0,0,0,0,0,1.5322767623965907
24,25,1.0,0,0,0,0,0,1.4203486402942267
25,24,1.0,0,0,0,0,0,1.4203486402942267
25,26,1.0,0,0,0,0,0,1.6160692549778073
26,25,1.0,0,0,0,0,0,1.6160692549778073
26,27,2.0,0,0,0,0,0,1.5040600755265758
27,26,2.0,0,0,0,0,0,1.5040600755265758
26,28,1.0,0,0,0,0,0,1.5045851599942621
28,26,1.0,0,0,0,0,0,1.5045851599942621
26,29,1.0,0,0,0,0,0,1.6238853113801128
29,26,1.0,0,0,0,0,0,1.6238853113801128
29,30,1.0,0,0,0,0,0,1.414428121980865
30,29,1.0,0,0,0,0,0,1.414428121980865
30,31,1.0,0,0,0,0,0,1.5337120057261129
31,30,1.0,0,0,0,0,0,1.5337120057261129
31,32,1.0,0,0,0,0,0,1.5532873508935632
32,31,1.0,0,0,0,0,0,1.5532873508935632
32,33,1.0,0,0,0,0,0,1.524088806551715
33,32,1.0,0,0,0,0,0,1.524088806551715
32,34,1.0,0,0,0,0,0,1.5233358606703542
34,32,1.0,0,0,0,0,0,1.5233358606703542
32,35,1.0,0,0,0,0,0,1.5169227702917683
35,32,1.0,0,0,0,0,0,1.5169227702917683
23,36,1.0,0,0,0,0,0,1.4472753612658829
36,23,1.0,0,0,0,0,0,1.4472753612658829
36,37,1.0,1,0,0,0,0,1.3576982214398978
37,36,1.0,1,0,0,0,0,1.3576982214398978
37,38,2.0,1,0,0,0,0,1.223977718073926
38,37,2.0,1,0,0,0,0,1.223977718073926
37,39,1.0,0,0,0,0,0,1.5095979573498959
39,37,1.0,0,0,0,0,0,1.5095979573498959
39,40,1.0,0,0,0,0,0,1.5283025648209025
40,39,1.0,0,0,0,0,0,1.5283025648209025
40,41,1.0,0,0,0,0,0,1.5324145608650945
41,40,1.0,0,0,0,0,0,1.5324145608650945
41,42,1.0,0,0,0,0,0,1.532248161834455
42,41,1.0,0,0,0,0,0,1.532248161834455
42,43,1.0,0,0,0,0,0,1.531963148078371
43,42,1.0,0,0,0,0,0,1.531963148078371
43,44,1.0,0,0,0,0,0,1.5314992886440304
44,43,1.0,0,0,0,0,0,1.5314992886440304
44,45,1.0,0,0,0,0,0,1.5317851695193858
45,44,1.0,0,0,0,0,0,1.5317851695193858
45,46,1.0,0,0,0,0,0,1.5314109599036445
46,45,1.0,0,0,0,0,0,1.5314109599036445
46,47,1.0,0,0,0,0,0,1.5317231086650258
47,46,1.0,0,0,0,0,0,1.5317231086650258
47,48,1.0,0,0,0,0,0,1.5312219249219423
48,47,1.0,0,0,0,0,0,1.5312219249219423
48,49,1.0,0,0,0,0,0,1.531278196641375
49,48,1.0,0,0,0,0,0,1.531278196641375
49,50,1.0,0,0,0,0,0,1.5318531330377299
50,49,1.0,0,0,0,0,0,1.5318531330377299
50,51,1.0,0,0,0,0,0,1.5318739556997953
51,50,1.0,0,0,0,0,0,1.5318739556997953
51,52,1.0,0,0,0,0,0,1.5317095966939165
52,51,1.0,0,0,0,0,0,1.5317095966939165
52,53,1.0,0,0,0,0,0,1.531775166490625
53,52,1.0,0,0,0,0,0,1.531775166490625
53,54,1.0,0,0,0,0,0,1.5316844910884426
54,53,1.0,0,0,0,0,0,1.5316844910884426
54,55,1.0,0,0,0,0,0,1.5319470104129853
55,54,1.0,0,0,0,0,0,1.5319470104129853
55,56,1.0,0,0,0,0,0,1.5301974260544238
56,55,1.0,0,0,0,0,0,1.5301974260544238
56,57,1.0,0,0,0,0,0,1.5209663437488838
57,56,1.0,0,0,0,0,0,1.5209663437488838
