label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,test_protein_isolation,test_protein_cross_mean,test_block_proteins,test_train_proteins,protein_descriptors,valid_isolation,valid_cross_mean,valid_seen_lipid_share,valid_protein_isolation,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,TP,FP,TN,FN,balanced_accuracy,F1,TP_share,FP_share,TN_share,FN_share
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_GLTP,2,double_coldsplit,0.5504668951034546,0.3460753262042999,0.0,0.7114846758916042,0.4235199654501848,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.5706102848052979,0.37191200256347656,0.0,0.7114846758916042,1713,52,50,25,0.5,2,571,84,1114,15.0,0.0,25.0,10.0,0.8,0.75,0.3,0.0,0.5,0.2
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_GLTP,3,double_coldsplit,0.5533061027526855,0.34910982847213745,0.0,0.7114846758916042,0.4235199654501848,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.568153440952301,0.3721805214881897,0.0,0.7114846758916042,1713,52,50,25,0.5,2,571,86,1114,11.0,12.0,13.0,14.0,0.48,0.458333,0.22,0.24,0.26,0.28
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_GLTP,1,double_coldsplit,0.5654232501983643,0.3665548861026764,0.0,0.7114846758916042,0.4235199654501848,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.5451416969299316,0.34108948707580566,0.0,0.7114846758916042,1713,52,50,25,0.5,2,571,82,1114,11.0,13.0,12.0,14.0,0.46,0.44898,0.22,0.26,0.24,0.28
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_GLTP,0,double_coldsplit,0.5718403458595276,0.3740769326686859,0.0,0.7114846758916042,0.4235199654501848,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.5444141626358032,0.3337828516960144,0.0,0.7114846758916042,1713,52,50,25,0.5,2,571,83,1114,11.0,2.0,23.0,14.0,0.68,0.578947,0.22,0.04,0.46,0.28
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_CRAL-TRIO,3,double_coldsplit,0.7780174016952515,0.5260414481163025,0.0,0.7041516665508666,0.38822954276298177,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7853944897651672,0.5265450477600098,0.0,0.7041516665508666,1044,129,128,67,0.5234375,6,350,251,937,24.0,21.0,40.0,43.0,0.506973,0.428571,0.1875,0.1640625,0.3125,0.3359375
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_CRAL-TRIO,0,double_coldsplit,0.7811253666877747,0.5244553685188293,0.0,0.7041516665508666,0.38822954276298177,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7878151535987854,0.5255993604660034,0.0,0.7041516665508666,1044,129,128,67,0.5234375,6,350,246,937,47.0,40.0,21.0,20.0,0.522877,0.61039,0.3671875,0.3125,0.1640625,0.15625
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_CRAL-TRIO,1,double_coldsplit,0.7846261262893677,0.5289716124534607,0.0,0.7041516665508666,0.38822954276298177,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7826128005981445,0.5278664827346802,0.0,0.7041516665508666,1044,129,128,67,0.5234375,6,350,251,937,17.0,7.0,54.0,50.0,0.569489,0.373626,0.1328125,0.0546875,0.421875,0.390625
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_CRAL-TRIO,2,double_coldsplit,0.7864366173744202,0.5288648009300232,0.0,0.7041516665508666,0.38822954276298177,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7830600142478943,0.5284237861633301,0.0,0.7041516665508666,1044,129,128,67,0.5234375,6,350,242,937,15.0,5.0,56.0,52.0,0.570957,0.344828,0.1171875,0.0390625,0.4375,0.40625
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_START,1,double_coldsplit,0.7909688353538513,0.5037722587585449,0.0,0.7875839060596919,0.4595761799942507,3,28,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7913306355476379,0.5000160932540894,0.0,0.7875839060596919,879,153,154,65,0.42207792207792205,3,293,680,400,51.0,56.0,33.0,14.0,0.577701,0.593023,0.33116883116883117,0.36363636363636365,0.21428571428571427,0.09090909090909091
bbp_dcs_rand_smd_fa_nps_bilinear_fusion_dpt01_gm_plm8_hid8_wd001_ep120,groups_START,3,double_coldsplit,0.7917987704277039,0.5014299154281616,0.0,0.7875839060596919,0.4595761799942507,3,28,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",0.7933385372161865,0.5034323930740356,0.0,0.7875839060596919,879,153,154,65,0.42207792207792205,3,293,646,400,34.0,43.0,46.0,31.0,0.519965,0.478873,0.22077922077922077,0.2792207792207792,0.2987012987012987,0.2012987012987013
