label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,test_protein_isolation,test_protein_cross_mean,test_block_proteins,test_train_proteins,protein_descriptors,valid_isolation,valid_cross_mean,valid_seen_lipid_share,valid_protein_isolation,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,TP,FP,TN,FN,balanced_accuracy,F1,TP_share,FP_share,TN_share,FN_share
geometric_edge_attention_protgeom8,groups_GLTP,2,double_coldsplit,0.5504668951034546,0.3460753262042999,0.0,0.7148464758924156,0.3740375640463507,2,33,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.5706102848052979,0.37191200256347656,0.0,0.7148464758924156,1713,52,50,25,0.5,2,571,84,1114,4.0,6.0,19.0,21.0,0.46,0.228571,0.08,0.12,0.38,0.42
geometric_edge_attention_protgeom8,groups_GLTP,1,double_coldsplit,0.5654232501983643,0.3665548861026764,0.0,0.7148464758924156,0.3740375640463507,2,33,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.5451416969299316,0.34108948707580566,0.0,0.7148464758924156,1713,52,50,25,0.5,2,571,82,1114,12.0,10.0,15.0,13.0,0.54,0.510638,0.24,0.2,0.3,0.26
geometric_edge_attention_protgeom8,groups_GLTP,0,double_coldsplit,0.5718403458595276,0.3740769326686859,0.0,0.7148464758924156,0.3740375640463507,2,33,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.5444141626358032,0.3337828516960144,0.0,0.7148464758924156,1713,52,50,25,0.5,2,571,83,1114,21.0,16.0,9.0,4.0,0.6,0.677419,0.42,0.32,0.18,0.08
geometric_edge_attention_protgeom8,groups_CRAL-TRIO,0,double_coldsplit,0.7811253666877747,0.5244553685188293,0.0,0.7130045737406051,0.37081924496619123,6,23,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7878151535987854,0.5255993604660034,0.0,0.7130045737406051,1044,129,128,67,0.5234375,6,350,246,937,26.0,16.0,45.0,41.0,0.562882,0.477064,0.203125,0.125,0.3515625,0.3203125
geometric_edge_attention_protgeom8,groups_CRAL-TRIO,1,double_coldsplit,0.7846261262893677,0.5289716124534607,0.0,0.7130045737406051,0.37081924496619123,6,23,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7826128005981445,0.5278664827346802,0.0,0.7130045737406051,1044,129,128,67,0.5234375,6,350,251,937,28.0,20.0,41.0,39.0,0.545021,0.486957,0.21875,0.15625,0.3203125,0.3046875
geometric_edge_attention_protgeom8,groups_CRAL-TRIO,2,double_coldsplit,0.7864366173744202,0.5288648009300232,0.0,0.7130045737406051,0.37081924496619123,6,23,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7830600142478943,0.5284237861633301,0.0,0.7130045737406051,1044,129,128,67,0.5234375,6,350,242,937,63.0,41.0,20.0,4.0,0.634084,0.736842,0.4921875,0.3203125,0.15625,0.03125
geometric_edge_attention_protgeom8,groups_START,1,double_coldsplit,0.7909688353538513,0.5037722587585449,0.0,0.8408595609273711,0.4943988343256818,3,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7913306355476379,0.5000160932540894,0.0,0.8408595609273711,879,153,154,65,0.42207792207792205,3,293,680,400,57.0,42.0,47.0,8.0,0.702506,0.695122,0.37012987012987014,0.2727272727272727,0.3051948051948052,0.05194805194805195
geometric_edge_attention_protgeom8,groups_LBP_BPI_CETP,1,double_coldsplit,0.79254150390625,0.4973534047603607,0.0,0.7791733562501745,0.4504876861677002,2,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7954893708229065,0.49604105949401855,0.0,0.7791733562501745,1164,71,70,23,0.32857142857142857,2,388,469,435,8.0,18.0,29.0,15.0,0.482424,0.326531,0.11428571428571428,0.2571428571428571,0.4142857142857143,0.21428571428571427
geometric_edge_attention_protgeom8,groups_lipocalin,1,double_coldsplit,0.7926064729690552,0.5029802918434143,0.0,0.7289030872026772,0.37002532523947035,8,21,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.785979151725769,0.5006834864616394,0.0,0.757912376421774,981,108,108,36,0.3333333333333333,8,327,471,466,33.0,69.0,3.0,3.0,0.479167,0.478261,0.3055555555555556,0.6388888888888888,0.027777777777777776,0.027777777777777776
geometric_edge_attention_protgeom8,groups_IP_trans,1,double_coldsplit,0.7927776575088501,0.49966710805892944,0.0,0.6371052635906712,0.34610757833827605,3,29,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7895536422729492,0.495665043592453,0.0,0.6371052635906712,1089,71,70,23,0.32857142857142857,3,363,518,435,19.0,18.0,29.0,4.0,0.721554,0.633333,0.2714285714285714,0.2571428571428571,0.4142857142857143,0.05714285714285714
