label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,test_protein_isolation,test_protein_cross_mean,test_block_proteins,test_train_proteins,protein_descriptors,valid_isolation,valid_cross_mean,valid_seen_lipid_share,valid_protein_isolation,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,TP,FP,TN,FN,balanced_accuracy,F1,TP_share,FP_share,TN_share,FN_share
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_GLTP,2,double_coldsplit,0.5504668951034546,0.3460753262042999,0.0,0.7148464758924156,0.3740375640463507,2,33,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.5706102848052979,0.37191200256347656,0.0,0.7148464758924156,1713,52,50,25,0.5,2,571,84,1114,7.0,0.0,25.0,18.0,0.64,0.4375,0.14,0.0,0.5,0.36
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_GLTP,3,double_coldsplit,0.5533061027526855,0.34910982847213745,0.0,0.7148464758924156,0.3740375640463507,2,33,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.568153440952301,0.3721805214881897,0.0,0.7148464758924156,1713,52,50,25,0.5,2,571,86,1114,4.0,8.0,17.0,21.0,0.42,0.216216,0.08,0.16,0.34,0.42
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_GLTP,4,double_coldsplit,0.5611492395401001,0.361214816570282,0.0,0.7148464758924156,0.3740375640463507,2,33,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.5729055404663086,0.37192028760910034,0.0,0.7148464758924156,1713,52,50,25,0.5,2,571,86,1114,20.0,21.0,4.0,5.0,0.48,0.606061,0.4,0.42,0.08,0.1
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_GLTP,1,double_coldsplit,0.5654232501983643,0.3665548861026764,0.0,0.7148464758924156,0.3740375640463507,2,33,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.5451416969299316,0.34108948707580566,0.0,0.7148464758924156,1713,52,50,25,0.5,2,571,82,1114,17.0,18.0,7.0,8.0,0.48,0.566667,0.34,0.36,0.14,0.16
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_GLTP,0,double_coldsplit,0.5718403458595276,0.3740769326686859,0.0,0.7148464758924156,0.3740375640463507,2,33,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.5444141626358032,0.3337828516960144,0.0,0.7148464758924156,1713,52,50,25,0.5,2,571,83,1114,20.0,16.0,9.0,5.0,0.58,0.655738,0.4,0.32,0.18,0.1
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_CRAL-TRIO,3,double_coldsplit,0.7780174016952515,0.5260414481163025,0.0,0.7130045737406051,0.37081924496619123,6,23,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7853944897651672,0.5265450477600098,0.0,0.7130045737406053,1044,129,128,67,0.5234375,6,350,251,937,5.0,5.0,56.0,62.0,0.49633,0.12987,0.0390625,0.0390625,0.4375,0.484375
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_CRAL-TRIO,0,double_coldsplit,0.7811253666877747,0.5244553685188293,0.0,0.7130045737406051,0.37081924496619123,6,23,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7878151535987854,0.5255993604660034,0.0,0.7130045737406051,1044,129,128,67,0.5234375,6,350,246,937,67.0,61.0,0.0,0.0,0.5,0.687179,0.5234375,0.4765625,0.0,0.0
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_CRAL-TRIO,1,double_coldsplit,0.7846261262893677,0.5289716124534607,0.0,0.7130045737406051,0.37081924496619123,6,23,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7826128005981445,0.5278664827346802,0.0,0.7130045737406051,1044,129,128,67,0.5234375,6,350,251,937,7.0,0.0,61.0,60.0,0.552239,0.189189,0.0546875,0.0,0.4765625,0.46875
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_CRAL-TRIO,4,double_coldsplit,0.7860174775123596,0.5296107530593872,0.0,0.7130045737406051,0.37081924496619123,6,23,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7918075919151306,0.5293230414390564,0.0,0.7280249874492176,1044,129,128,67,0.5234375,6,350,267,937,67.0,61.0,0.0,0.0,0.5,0.687179,0.5234375,0.4765625,0.0,0.0
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_CRAL-TRIO,2,double_coldsplit,0.7864366173744202,0.5288648009300232,0.0,0.7130045737406051,0.37081924496619123,6,23,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7830600142478943,0.5284237861633301,0.0,0.7130045737406051,1044,129,128,67,0.5234375,6,350,242,937,4.0,1.0,60.0,63.0,0.521654,0.111111,0.03125,0.0078125,0.46875,0.4921875
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_START,1,double_coldsplit,0.7909688353538513,0.5037722587585449,0.0,0.8408595609273711,0.4943988343256818,3,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7913306355476379,0.5000160932540894,0.0,0.8408595609273711,879,153,154,65,0.42207792207792205,3,293,680,400,10.0,8.0,81.0,55.0,0.531979,0.240964,0.06493506493506493,0.05194805194805195,0.525974025974026,0.35714285714285715
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_START,3,double_coldsplit,0.7917987704277039,0.5014299154281616,0.0,0.8408595609273711,0.4943988343256818,3,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7933385372161865,0.5034323930740356,0.0,0.8408595609273711,879,153,154,65,0.42207792207792205,3,293,646,400,44.0,47.0,42.0,21.0,0.574417,0.564103,0.2857142857142857,0.3051948051948052,0.2727272727272727,0.13636363636363635
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_LBP_BPI_CETP,3,double_coldsplit,0.7920119166374207,0.4965505301952362,0.0,0.7791733562501745,0.4504876861677002,2,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7932193279266357,0.49628618359565735,0.0,0.7791733562501745,1164,71,70,23,0.32857142857142857,2,388,487,435,20.0,25.0,22.0,3.0,0.668825,0.588235,0.2857142857142857,0.35714285714285715,0.3142857142857143,0.04285714285714286
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_LBP_BPI_CETP,1,double_coldsplit,0.79254150390625,0.4973534047603607,0.0,0.7791733562501745,0.4504876861677002,2,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7954893708229065,0.49604105949401855,0.0,0.7791733562501745,1164,71,70,23,0.32857142857142857,2,388,469,435,2.0,2.0,45.0,21.0,0.522202,0.148148,0.02857142857142857,0.02857142857142857,0.6428571428571429,0.3
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_lipocalin,1,double_coldsplit,0.7926064729690552,0.5029802918434143,0.0,0.7289030872026772,0.37002532523947035,8,21,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.785979151725769,0.5006834864616394,0.0,0.757912376421774,981,108,108,36,0.3333333333333333,8,327,471,466,0.0,0.0,72.0,36.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_IP_trans,3,double_coldsplit,0.7926449775695801,0.5008037686347961,0.0,0.6371052635906712,0.34610757833827605,3,29,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7926505208015442,0.49703723192214966,0.0,0.6371052635906712,1089,71,70,23,0.32857142857142857,3,363,466,435,21.0,26.0,21.0,2.0,0.679926,0.6,0.3,0.37142857142857144,0.3,0.02857142857142857
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_IP_trans,1,double_coldsplit,0.7927776575088501,0.49966710805892944,0.0,0.6371052635906712,0.34610757833827605,3,29,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7895536422729492,0.495665043592453,0.0,0.6371052635906712,1089,71,70,23,0.32857142857142857,3,363,518,435,5.0,8.0,39.0,18.0,0.523589,0.277778,0.07142857142857142,0.11428571428571428,0.5571428571428572,0.2571428571428571
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_START,0,double_coldsplit,0.7932908535003662,0.5006573796272278,0.0,0.8408595609273711,0.4943988343256818,3,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7940905690193176,0.5041843056678772,0.0,0.8408595609273711,879,153,154,65,0.42207792207792205,3,293,581,400,64.0,86.0,3.0,1.0,0.509162,0.595349,0.4155844155844156,0.5584415584415584,0.01948051948051948,0.006493506493506494
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_LBP_BPI_CETP,2,double_coldsplit,0.7933973073959351,0.49853432178497314,0.0,0.7791733562501745,0.4504876861677002,2,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7947764992713928,0.49923792481422424,0.0,0.7791733562501745,1164,71,70,23,0.32857142857142857,2,388,509,435,1.0,1.0,46.0,22.0,0.511101,0.08,0.014285714285714285,0.014285714285714285,0.6571428571428571,0.3142857142857143
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_IP_trans,0,double_coldsplit,0.7937148809432983,0.4956369698047638,0.0,0.6371052635906712,0.34610757833827605,3,29,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7918747067451477,0.49544763565063477,0.0,0.6371052635906712,1089,71,70,23,0.32857142857142857,3,363,516,435,14.0,12.0,35.0,9.0,0.676688,0.571429,0.2,0.17142857142857143,0.5,0.12857142857142856
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_IP_trans,4,double_coldsplit,0.7939918041229248,0.5002725124359131,0.0,0.6371052635906712,0.34610757833827605,3,29,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.793385922908783,0.496542751789093,0.0,0.6371052635906712,1089,71,70,23,0.32857142857142857,3,363,483,435,23.0,47.0,0.0,0.0,0.5,0.494624,0.32857142857142857,0.6714285714285714,0.0,0.0
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_IP_trans,2,double_coldsplit,0.7941288948059082,0.4964599609375,0.0,0.6371052635906712,0.34610757833827605,3,29,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7959628701210022,0.49922603368759155,0.0,0.6371052635906712,1089,71,70,23,0.32857142857142857,3,363,525,435,14.0,15.0,32.0,9.0,0.644773,0.538462,0.2,0.21428571428571427,0.45714285714285713,0.12857142857142856
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_lipocalin,4,double_coldsplit,0.7944253087043762,0.5030257701873779,0.0,0.7306727188677026,0.37318968775960765,9,21,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7935843467712402,0.5046306848526001,0.0,0.7289030872026772,981,108,108,36,0.3333333333333333,9,327,427,466,36.0,59.0,13.0,0.0,0.590278,0.549618,0.3333333333333333,0.5462962962962963,0.12037037037037036,0.0
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_START,2,double_coldsplit,0.7944257855415344,0.5035157203674316,0.0,0.8408595609273711,0.4943988343256818,3,28,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7955652475357056,0.5050035119056702,0.0,0.8408595609273711,879,153,154,65,0.42207792207792205,3,293,662,400,65.0,89.0,0.0,0.0,0.5,0.593607,0.42207792207792205,0.577922077922078,0.0,0.0
geometric_edge_mlp_protgeom8_normalized_rankprot,groups_lipocalin,2,double_coldsplit,0.7954351305961609,0.5058866739273071,0.0,0.7306727188677026,0.37318968775960765,9,21,"pocket_extent,pocket_elongation,pocket_flatness,depth_q10,buriedness_q50,aromatic_share,hydropathy_core,hydropathy_rim",0.7949511408805847,0.5058279037475586,0.0,0.7632134479449036,981,108,108,36,0.3333333333333333,9,327,445,466,31.0,30.0,42.0,5.0,0.722222,0.639175,0.28703703703703703,0.2777777777777778,0.3888888888888889,0.046296296296296294
