group_a,group_b,mean_tanimoto,encoded_lipids_a,encoded_lipids_b,sampled_encoded_lipids_a,sampled_encoded_lipids_b,positive_rows_a,positive_rows_b,unique_lipids_a,unique_lipids_b,unique_full_identities_a,unique_full_identities_b
CRAL-TRIO,CRAL-TRIO,0.7138453154057627,989,989,989,989,204,204,106,106,109,109
CRAL-TRIO,GLTP,0.33738359028641984,989,260,989,260,204,81,106,62,109,80
CRAL-TRIO,IP_trans,0.6930498027515266,989,635,989,635,204,65,106,45,109,45
CRAL-TRIO,LBP_BPI_CETP,0.6799358657853207,989,535,989,535,204,55,106,38,109,38
CRAL-TRIO,ML,0.6864712803449552,989,56,989,56,204,10,106,10,109,10
CRAL-TRIO,OSBP,0.6830837762753571,989,32,989,32,204,8,106,6,109,6
CRAL-TRIO,START,0.6751993698206729,989,1512,989,1512,204,200,106,125,109,129
CRAL-TRIO,lipocalin,0.6473153107211737,989,432,989,432,204,90,106,59,109,59
CRAL-TRIO,scp2,0.6714651630792491,989,106,989,106,204,43,106,38,109,38
GLTP,CRAL-TRIO,0.33738360547756086,260,989,260,989,81,204,62,106,80,109
GLTP,GLTP,0.5999906388683431,260,260,260,260,81,81,62,62,80,80
GLTP,IP_trans,0.3634176493413083,260,635,260,635,81,65,62,45,80,45
GLTP,LBP_BPI_CETP,0.3656827372393961,260,535,260,535,81,55,62,38,80,38
GLTP,ML,0.36612532060224934,260,56,260,56,81,10,62,10,80,10
GLTP,OSBP,0.30507495586688704,260,32,260,32,81,8,62,6,80,6
GLTP,START,0.3636053399725275,260,1512,260,1512,81,200,62,125,80,129
GLTP,lipocalin,0.3543196892806268,260,432,260,432,81,90,62,59,80,59
GLTP,scp2,0.3359998993672895,260,106,260,106,81,43,62,38,80,38
IP_trans,CRAL-TRIO,0.6930498773914636,635,989,635,989,65,204,45,106,45,109
IP_trans,GLTP,0.3634176907461387,635,260,635,260,65,81,45,62,45,80
IP_trans,IP_trans,0.8482444374263749,635,635,635,635,65,65,45,45,45,45
IP_trans,LBP_BPI_CETP,0.8332224938369269,635,535,635,535,65,55,45,38,45,38
IP_trans,ML,0.8182622130729753,635,56,635,56,65,10,45,10,45,10
IP_trans,OSBP,0.5903348306971272,635,32,635,32,65,8,45,6,45,6
IP_trans,START,0.8130101575844686,635,1512,635,1512,65,200,45,125,45,129
IP_trans,lipocalin,0.7599379972522966,635,432,635,432,65,90,45,59,45,59
IP_trans,scp2,0.587989732093114,635,106,635,106,65,43,45,38,45,38
LBP_BPI_CETP,CRAL-TRIO,0.6799359230005528,535,989,535,989,55,204,38,106,38,109
