protein_id,artifact_stem,family,uniprot_id,esm3_v1_extra_trim_pairs
ATCAY,ATCAY,CRAL-TRIO,Q86WG3,0
BNIPL,BNIPL,CRAL-TRIO,Q7Z465,0
BPI,BPI,LBP_BPI_CETP,P17213,0
BPIFB2,BPIFB2,LBP_BPI_CETP,Q8N4F0,0
CRABP2,CRABP2,lipocalin,P29373,0
FABP1,FABP1,lipocalin,P07148,0
FABP5,FABP5,lipocalin,Q01469,0
FABP7,FABP7,lipocalin,O15540,0
GLTP,GLTP,GLTP,Q9NZD2,0
GLTPD1,GLTPD1,GLTP,Q5TA50,0
GM2A,GM2A,ML,P17900,1
HSDL2,HSDL2,scp2,Q6YN16,0
LCN1,LCN1,lipocalin,P31025,0
LCN15,LCN15,lipocalin,Q6UWW0,0
OSBPL5,OSBPL5,OSBP,Q9H0X9,0
OSBPL9,OSBPL9,OSBP,Q96SU4,0
PITPNA,PITPNA,IP_trans,Q00169,4
PITPNB,PITPNB,IP_trans,P48739,0
PITPNC1,PITPNC1,IP_trans,Q9UKF7,0
PMP2,PMP2,lipocalin,P02689,0
RBP1,RET1,lipocalin,P09455,0
RBP4,RET4,lipocalin,P02753,0
RBP5,RET5,lipocalin,P82980,0
RLBP1,RLBP1,CRAL-TRIO,P12271,0
SCP2,SCP2,scp2,P22307,0
SCP2D1,SCP2D1,scp2,Q9UJQ7,0
SEC14L2,SEC14L2,CRAL-TRIO,O76054,0
SEC14L4,SEC14L4,CRAL-TRIO,Q9UDX3,0
SEC14L5,SEC14L5,CRAL-TRIO,O43304,0
SEC14L6,SEC14L6,CRAL-TRIO,B5MCN3,0
STARD10,STARD10,START,Q9Y365,0
STARD11,CERT,START,Q9Y5P4,0
STARD2,STARD2,START,Q9UKL6,0
TTPA,TTPA,CRAL-TRIO,P49638,0
TTPAL,TTPAL,CRAL-TRIO,Q9BTX7,0
